,bnf_name,bnf_code,total_items,total_cost
0,Prostin_E2 Gel 1mg/2.5ml Pfs,0701010I0BBAFAF,1,12.3382
1,Levofloxacin_I/V Inf 5mg/ml 100ml Vl,0501120X0AAACAC,1,69.626
2,Cefuroxime Sod_Inj 1.5g Vl,0501021J0AAACAC,1,394.33493
3,Sunitinib_Cap 25mg,0801050AMAAABAB,1,1458.50136
4,Sunitinib_Cap 50mg,0801050AMAAACAC,1,104.18993
5,Talmanco_Tab 20mg,0704050R0BDAAAB,1,387.55282
6,Dabrafenib_Cap 75mg,0802040AIAAABAB,1,46.56671
7,Tigecycline_I/V Inf 50mg Vl (Dry),0501030Y0AAAAAA,1,809.9961900000001
8,Tocilizumab_Inj 162mg/0.9ml Pfs,1001030W0AAADAD,1,211.99762
9,Daptomycin_I/V Inf 350mg Vl (Dry),0501070Y0AAAAAA,1,57.57535
10,Palbociclib_Cap 125mg,0801050CBAAACAC,1,2740.73011
11,Enbrel_Inj 25mg Vl + Dil,1001030D0BBAAAA,1,331.94021000000004
12,Mepolizumab_Inj 100mg Vl (Dry),0304020Y0AAAAAA,1,780.64878
13,Infliximab_Inf 100mg Vl,1001030T0AAAAAA,1,385.99506
14,Labetalol HCl_Inj 5mg/ml 20ml Amp,0204000I0AAAAAA,1,2172.41192
15,Mycophenolate Mofetil_Inj 500mg Vl,0802010M0AAAHAH,1,8.16968
16,Abatacept_Inj 125mg/1ml Pfs,1001030V0AAABAB,1,1124.12878
17,Aciclovir_I/V Inf 25mg/ml 10ml Vl,0503021C0AAAIAI,1,27.844640000000002
18,Misoprostol_Tab 400mcg,0701010X0AAAAAA,1,416.32987
19,Zoledronic Acid_I/V Inf 40mcg/ml 100mlVl,0606020V0AAAEAE,1,247.88304
20,Flumazenil_Inj 100mcg/ml 5ml Amp,1501070F0AAAAAA,1,13.565420000000001
21,Netupitant/Palonosteron_Cap 300mg/500mcg,0406000AGAAAAAA,1,64.07797
22,Ciprofloxacin_I/V Inf 2mg/ml 100ml Bag,0501120L0AABEBE,1,130.01918999999998
23,Nintedanib_Cap 100mg,0801050BTAAAAAA,1,1996.6231699999998
24,Ustekinumab_I/V Inf 5mg/ml 26ml Vl,0105030B0AAAAAA,1,1993.36175
25,Anidulafungin_I/V Inf Pdr 100mg Vl,0502040A0AAABAB,1,1587.14672
26,Arixtra_Inj 1.5mg/0.3ml Pfs,0208010ABBBAEAE,1,23.435979999999997
27,Nexium I.V._Inj 40mg Vl (Dry),0103050E0BBACAC,1,110.5023
28,Erythromycin_Lactobi I/V Inf 1g Vl,0501050K0AAAAAA,2,681.50947
29,Daptomycin_I/V Inf 500mg Vl (Dry),0501070Y0AAABAB,2,1473.62755
30,Fondaparinux Sod_Inj 5mg/ml 0.3ml Pfs,0208010ABAAAEAE,2,87.52637999999999
31,Paracet_I/V Inf 10mg/ml 50ml Btl,0407010H0AADTDT,2,40.891400000000004
32,Ofev_Cap 100mg,0801050BTBCAAAA,2,66.48724999999999
33,Lumacaftor/Ivacaftor_Tab 200mg/125mg,0307000T0AAAAAA,2,3718.49476
34,Atazanavir_Cap 300mg,0503010L0AAADAD,2,18.99706
35,Zinacef_I/M/I/V 750mg Vl (Dry),0501021J0BBABAB,2,13.06143
36,Mag Sulf_Inj 10% 10ml Amp,0905013N0AAABAB,2,68.52131
37,Methotrexate_Inj 25mg/ml 2ml Vl,0801030P0AAANAN,3,615.3619699999999
38,Etanercept_Inj 25mg/0.5ml Pfs,1001030D0AAADAD,3,581.0527500000001
39,Botox_Inj Pdr 50u Vl,0409030B0BCABAD,3,250.64126000000002
40,Miglustat_Cap 100mg,0908010ACAAAAAA,3,23482.3275
41,Etanercept_Inj 50mg/1ml Pfs,1001030D0AAACAC,4,1659.12012
42,Rapifen Intensive Care_Inj 5mg/1ml Amp,1501043A0BBADAD,4,107.65314
43,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,4,119.16762
44,Fampridine_Tab 10mg M/R,1002010U0AAABAB,4,1008.75682
45,Tofacitinib_Tab 5mg,1001030ABAAABAB,4,1933.04257
46,Botulinum A Toxin_Inj Pdr 200u Vl,0409030B0AAAGAG,5,2054.67445
47,Levobupivac HCl_Inj 5mg/ml 10ml Amp,1502010V0AAABAB,5,9.176350000000001
48,Zoledronic Acid_I/V Inf 50mcg/ml 100mlVl,0606020V0AAAFAF,7,1682.84508
49,Etanercept_Inj 50mg/ml 1ml Pf Pen,1001030D0AAAEAE,7,2590.72792
50,Clarithromycin_I/V Inf 500mg Vl,0501050B0AAACAC,7,568.54543
51,Amoxicillin Sod_Inj 250mg Vl,0501013C0AAACAC,7,114.08748999999999
52,Posaconazole_Oral Susp 200mg/5ml,0502010A0AAAAAA,7,15333.276199999998
53,Toradol_Inj 30mg/ml 1ml Amp,1501042E0BBAAAA,7,136.39249
54,Tolvaptan_Tab 30mg,0605020Y0AAABAB,7,1940.4083500000002
55,Efavirenz_Tab 600mg,0503010D0AAADAD,7,637.29848
56,"Adren_Inj 1/10,000 10ml Pfs",0207030A0AAABAB,8,272.15009999999995
