supplier,month,bnf_name,bnf_code,total_items,total_cost
EMIS,2016-01-01,Omeprazole_I/V Inf 40mg Vl,0103050P0AAAVAV,2,348.11
EMIS,2016-01-01,Pantoprazole_Inj 40mg Vl,0103050R0AAACAC,1,132.16
EMIS,2016-01-01,Tranexamic Acid_Inj 100mg/ml 5ml Amp,0211000P0AAAAAA,32,1623.7699999999998
EMIS,2016-01-01,Chlorphenamine Mal_Inj 10mg/ml 1ml Amp,0304010G0AAAAAA,35,2610.5700000000006
EMIS,2016-01-01,Zuclopenth Acet_Inj 50mg/ml 1ml Amp,040201010AAAAAA,6,90.0
EMIS,2016-01-01,Ondemet_Tab 8mg,0406000S0BCADAC,1,50.22
EMIS,2016-01-01,Oxycodone HCl_Inj 10mg/ml 1ml Amp,0407020ADAAALAL,844,17812.360000000015
EMIS,2016-01-01,Oxycodone HCl_Inj 10mg/ml 2ml Amp,0407020ADAAAMAM,132,7591.999999999996
EMIS,2016-01-01,Oxycodone HCl_Inj 50mg/ml 1ml Amp,0407020ADAAANAN,126,27764.869999999995
EMIS,2016-01-01,Levetiracetam_I/V Inf 100mg/ml 5ml Vl,0408010A0AAAJAJ,5,2350.2299999999996
EMIS,2016-01-01,Botox_Inj 100u Vl,0409030B0BCAAAE,1,132.63
EMIS,2016-01-01,Fluclox Sod_Inj 500mg Vl,0501012G0AAADAD,1,63.47
EMIS,2016-01-01,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,4,425.4599999999999
EMIS,2016-01-01,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,7,84.01
EMIS,2016-01-01,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,4,88.35
EMIS,2016-01-01,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,4,41.470000000000006
EMIS,2016-01-01,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,5,1549.23
EMIS,2016-01-01,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,5,45.26
EMIS,2016-01-01,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,9,37.79
EMIS,2016-01-01,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,41,3176.8399999999992
EMIS,2016-01-01,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,31,4588.490000000001
EMIS,2016-01-01,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,3,847.74
EMIS,2016-01-01,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,2,601.14
EMIS,2016-01-01,Cefuroxime Sod_Inj 750mg Vl,0501021J0AAABAB,2,13.98
EMIS,2016-01-01,Cefuroxime Sod_Inj 1.5g Vl,0501021J0AAACAC,2,55.989999999999995
EMIS,2016-01-01,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,12,2722.73
EMIS,2016-01-01,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,5,1004.75
EMIS,2016-01-01,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,11,2455.63
EMIS,2016-01-01,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,12,3336.2700000000004
EMIS,2016-01-01,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,35,2655.9400000000005
EMIS,2016-01-01,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,243,23732.71999999997
EMIS,2016-01-01,"Promixin_Inj 1,000,000u Vl (Dry)",0501070I0BCABAB,1,55.43
EMIS,2016-01-01,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,5,291.91999999999996
EMIS,2016-01-01,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,1,103.92
EMIS,2016-01-01,Daptomycin_I/V Inf 350mg Vl (Dry),0501070Y0AAAAAA,2,1202.55
