,bnf_name,bnf_code,total_items,total_cost
5,Cefuroxime Sod_Inj 1.5g Vl,0501021J0AAACAC,1,394.33493
8,Daptomycin_I/V Inf 350mg Vl (Dry),0501070Y0AAAAAA,1,57.57535
17,Levofloxacin_I/V Inf 5mg/ml 100ml Vl,0501120X0AAACAC,1,69.626
18,Tigecycline_I/V Inf 50mg Vl (Dry),0501030Y0AAAAAA,1,809.9961900000001
20,Ciprofloxacin_I/V Inf 2mg/ml 100ml Bag,0501120L0AABEBE,1,130.01918999999998
23,Aciclovir_I/V Inf 25mg/ml 10ml Vl,0503021C0AAAIAI,1,27.844640000000002
27,Anidulafungin_I/V Inf Pdr 100mg Vl,0502040A0AAABAB,1,1587.14672
32,Atazanavir_Cap 300mg,0503010L0AAADAD,2,18.99706
33,Daptomycin_I/V Inf 500mg Vl (Dry),0501070Y0AAABAB,2,1473.62755
34,Zinacef_I/M/I/V 750mg Vl (Dry),0501021J0BBABAB,2,13.06143
36,Erythromycin_Lactobi I/V Inf 1g Vl,0501050K0AAAAAA,2,681.50947
45,Co-Amoxiclav_Inj 500mg/100mg Vl,0501013K0AAAEAE,4,119.16762
51,Posaconazole_Oral Susp 200mg/5ml,0502010A0AAAAAA,7,15333.276199999998
52,Amoxicillin Sod_Inj 250mg Vl,0501013C0AAACAC,7,114.08748999999999
55,Efavirenz_Tab 600mg,0503010D0AAADAD,7,637.29848
56,Clarithromycin_I/V Inf 500mg Vl,0501050B0AAACAC,7,568.54543
60,Piperacillin/Tazobactam_I/VInf2g/0.25gVl,0501014S0AAAAAA,9,1384.52325
61,Amikacin_Inj 250mg/ml 2ml Vl,0501040C0AAAAAA,9,3636.34686
64,Temocillin Sod_Inj 1g Vl,0501012U0AAABAB,13,4087.77178
65,Isavuconazole_Cap 100mg,0502010E0AAAAAA,14,9701.029690000001
67,Amoxicillin Sod_Inj 1g Vl,0501013C0AAAEAE,15,313.61784
70,Vancomycin HCl_I/V Inf 1g Vl,0501070U0AAAFAF,16,1190.0572399999999
73,Abacavir/Lamivudine_Tab 600mg/300mg,0503010Z0AAAAAA,18,3413.7093900000004
75,Fluclox Sod_Inj 500mg Vl,0501012G0AAADAD,19,1026.8415499999999
76,Cefotaxime Sod_Inj 500mg Vl,0501021D0AAAAAA,20,266.15719
81,Fluclox Sod_Inj 1g Vl,0501012G0AAAEAE,33,4074.6974000000005
82,Co-Amoxiclav_Inj 1g/200mg Vl,0501013K0AAAFAF,35,889.7195100000002
85,Meropenem_Inj 1g Vl (Dry),0501022A0AAABAB,41,25187.708799999997
87,"Promixin_Inj 1,000,000u Vl (Dry)",0501070I0BCABAB,42,7398.465790000001
88,Cefotaxime Sod_Inj 1g Vl,0501021D0AAABAB,43,470.69244
91,Ceftazidime Pentahyd_Inj 1g Vl,0501021H0AAABAB,48,7872.455599999999
94,Cefuroxime Sod_Inj 750mg Vl,0501021J0AAABAB,61,2950.7725899999996
95,Emtricitabine/Tenofovir_Tab 200mg/245mg,0503010AAAAAAAA,62,15568.933420000001
97,Ceftazidime Pentahyd_Inj 2g Vl,0501021H0AAACAC,66,5708.63662
99,Piperacillin/Tazobactam_I/VInf 4g/0.5gVl,0501014S0AAABAB,67,15634.700459999998
100,Vancomycin HCl_I/V Inf 500mg Vl,0501070U0AAACAC,79,7657.305239999998
101,Fluclox Sod_Inj 250mg Vl,0501012G0AAACAC,94,7490.105600000002
103,Ceftriaxone Sod_Inj 250mg Vl,0501021G0AAABAB,119,551.4955599999998
104,Ertapenem Sod_I/V Inf 1g Vl (Dry),0501022B0AAAAAA,119,35007.337989999985
105,Meropenem_Inj 500mg Vl (Dry),0501022A0AAAAAA,122,26135.39362
109,Amoxicillin Sod_Inj 500mg Vl,0501013C0AAADAD,145,2811.59701
117,Gentamicin Sulf_Inj 40mg/ml 2ml Vl,0501040H0AAAMAM,442,18902.480530000004
118,Ceftriaxone Sod_Inj 1g Vl,0501021G0AAACAC,444,20385.178009999996
119,Ceftriaxone Sod_Inj 2g Vl,0501021G0AAADAD,494,66868.99019999999
132,"Colistimeth Sod_Inj 1,000,000u Vl",0501070I0AAABAB,4812,481775.57937000034
